idx,run_id,config,runnumber,repetition,seedset,suite,num_uavs,puf_ber,fe_profile,attack_mode,uav_id,success,puf_eval_ms,fe_gen_ms,total_ms,helper_bytes,challenge_bytes,details
81,Baseline5UAV-23-20260922-20:31:48-1127386,Baseline5UAV,23,23,23,sha3,5,,,,1,1,0.004158,0.035396,0.066253,160,16,enrollment; config=Baseline5UAV
82,Baseline5UAV-23-20260922-20:31:48-1127386,Baseline5UAV,23,23,23,sha3,5,,,,2,1,0.003867,0.034905,0.063808,160,16,enrollment; config=Baseline5UAV
83,Baseline5UAV-23-20260922-20:31:48-1127386,Baseline5UAV,23,23,23,sha3,5,,,,3,1,0.003827,0.036207,0.064039,160,16,enrollment; config=Baseline5UAV
84,Baseline5UAV-23-20260922-20:31:48-1127386,Baseline5UAV,23,23,23,sha3,5,,,,4,1,0.003767,0.035175,0.062336,160,16,enrollment; config=Baseline5UAV
85,Baseline5UAV-24-20260922-20:31:48-1127386,Baseline5UAV,24,24,24,sha3,5,,,,0,1,0.007103,0.040344,0.078966,160,16,enrollment; config=Baseline5UAV
86,Baseline5UAV-24-20260922-20:31:48-1127386,Baseline5UAV,24,24,24,sha3,5,,,,1,1,0.004318,0.035876,0.07552,160,16,enrollment; config=Baseline5UAV
87,Baseline5UAV-24-20260922-20:31:48-1127386,Baseline5UAV,24,24,24,sha3,5,,,,2,1,0.003948,0.035445,0.06466,160,16,enrollment; config=Baseline5UAV
88,Baseline5UAV-24-20260922-20:31:48-1127386,Baseline5UAV,24,24,24,sha3,5,,,,3,1,0.003918,0.036097,0.063378,160,16,enrollment; config=Baseline5UAV
89,Baseline5UAV-24-20260922-20:31:48-1127386,Baseline5UAV,24,24,24,sha3,5,,,,4,1,0.003837,0.035276,0.062325,160,16,enrollment; config=Baseline5UAV
90,Baseline5UAV-25-20260922-20:31:48-1127386,Baseline5UAV,25,25,25,sha3,5,,,,0,1,0.006232,0.040004,0.076301,160,16,enrollment; config=Baseline5UAV
91,Baseline5UAV-25-20260922-20:31:48-1127386,Baseline5UAV,25,25,25,sha3,5,,,,1,1,0.004128,0.045985,0.076471,160,16,enrollment; config=Baseline5UAV
92,Baseline5UAV-25-20260922-20:31:48-1127386,Baseline5UAV,25,25,25,sha3,5,,,,2,1,0.003987,0.034965,0.064139,160,16,enrollment; config=Baseline5UAV
93,Baseline5UAV-25-20260922-20:31:48-1127386,Baseline5UAV,25,25,25,sha3,5,,,,3,1,0.003887,0.034995,0.062065,160,16,enrollment; config=Baseline5UAV
94,Baseline5UAV-25-20260922-20:31:48-1127386,Baseline5UAV,25,25,25,sha3,5,,,,4,1,0.003787,0.036167,0.063678,160,16,enrollment; config=Baseline5UAV
95,Baseline5UAV-26-20260922-20:31:48-1127386,Baseline5UAV,26,26,26,sha3,5,,,,0,1,0.007674,0.040144,0.078786,160,16,enrollment; config=Baseline5UAV
96,Baseline5UAV-26-20260922-20:31:48-1127386,Baseline5UAV,26,26,26,sha3,5,,,,1,1,0.004057,0.035566,0.066463,160,16,enrollment; config=Baseline5UAV
97,Baseline5UAV-26-20260922-20:31:48-1127386,Baseline5UAV,26,26,26,sha3,5,,,,2,1,0.003867,0.035386,0.064579,160,16,enrollment; config=Baseline5UAV
98,Baseline5UAV-26-20260922-20:31:48-1127386,Baseline5UAV,26,26,26,sha3,5,,,,3,1,0.003797,0.035435,0.062766,160,16,enrollment; config=Baseline5UAV
99,Baseline5UAV-26-20260922-20:31:48-1127386,Baseline5UAV,26,26,26,sha3,5,,,,4,1,0.003818,0.035435,0.062546,160,16,enrollment; config=Baseline5UAV
100,Baseline5UAV-27-20260922-20:31:48-1127386,Baseline5UAV,27,27,27,sha3,5,,,,0,1,0.006322,0.039052,0.075299,160,16,enrollment; config=Baseline5UAV
101,Baseline5UAV-27-20260922-20:31:48-1127386,Baseline5UAV,27,27,27,sha3,5,,,,1,1,0.004078,0.035235,0.065371,160,16,enrollment; config=Baseline5UAV
102,Baseline5UAV-27-20260922-20:31:48-1127386,Baseline5UAV,27,27,27,sha3,5,,,,2,1,0.003767,0.034854,0.063899,160,16,enrollment; config=Baseline5UAV
103,Baseline5UAV-27-20260922-20:31:48-1127386,Baseline5UAV,27,27,27,sha3,5,,,,3,1,0.003807,0.034674,0.061573,160,16,enrollment; config=Baseline5UAV
104,Baseline5UAV-27-20260922-20:31:48-1127386,Baseline5UAV,27,27,27,sha3,5,,,,4,1,0.003726,0.036117,0.062967,160,16,enrollment; config=Baseline5UAV
105,Baseline5UAV-28-20260922-20:31:48-1127386,Baseline5UAV,28,28,28,sha3,5,,,,0,1,0.008275,0.040956,0.08101,160,16,enrollment; config=Baseline5UAV
106,Baseline5UAV-28-20260922-20:31:48-1127386,Baseline5UAV,28,28,28,sha3,5,,,,1,1,0.004088,0.035295,0.065742,160,16,enrollment; config=Baseline5UAV
107,Baseline5UAV-28-20260922-20:31:48-1127386,Baseline5UAV,28,28,28,sha3,5,,,,2,1,0.003857,0.035005,0.063918,160,16,enrollment; config=Baseline5UAV
108,Baseline5UAV-28-20260922-20:31:48-1127386,Baseline5UAV,28,28,28,sha3,5,,,,3,1,0.003847,0.034874,0.061714,160,16,enrollment; config=Baseline5UAV
109,Baseline5UAV-28-20260922-20:31:48-1127386,Baseline5UAV,28,28,28,sha3,5,,,,4,1,0.003767,0.034885,0.062385,160,16,enrollment; config=Baseline5UAV
110,Baseline5UAV-29-20260922-20:31:48-1127386,Baseline5UAV,29,29,29,sha3,5,,,,0,1,0.006311,0.039243,0.07587,160,16,enrollment; config=Baseline5UAV
111,Baseline5UAV-29-20260922-20:31:48-1127386,Baseline5UAV,29,29,29,sha3,5,,,,1,1,0.004057,0.035215,0.066233,160,16,enrollment; config=Baseline5UAV
112,Baseline5UAV-29-20260922-20:31:48-1127386,Baseline5UAV,29,29,29,sha3,5,,,,2,1,0.003827,0.035185,0.063528,160,16,enrollment; config=Baseline5UAV
113,Baseline5UAV-29-20260922-20:31:48-1127386,Baseline5UAV,29,29,29,sha3,5,,,,3,1,0.003827,0.034805,0.061905,160,16,enrollment; config=Baseline5UAV
114,Baseline5UAV-29-20260922-20:31:48-1127386,Baseline5UAV,29,29,29,sha3,5,,,,4,1,0.003777,0.034785,0.062165,160,16,enrollment; config=Baseline5UAV
115,Baseline5UAV-3-20260922-20:31:47-1127386,Baseline5UAV,3,3,3,sha3,5,,,,0,1,0.006392,0.039773,0.076101,160,16,enrollment; config=Baseline5UAV
116,Baseline5UAV-3-20260922-20:31:47-1127386,Baseline5UAV,3,3,3,sha3,5,,,,1,1,0.004188,0.035155,0.073486,160,16,enrollment; config=Baseline5UAV
117,Baseline5UAV-3-20260922-20:31:47-1127386,Baseline5UAV,3,3,3,sha3,5,,,,2,1,0.003898,0.034814,0.06466,160,16,enrollment; config=Baseline5UAV
118,Baseline5UAV-3-20260922-20:31:47-1127386,Baseline5UAV,3,3,3,sha3,5,,,,3,1,0.003897,0.034524,0.061635,160,16,enrollment; config=Baseline5UAV
119,Baseline5UAV-3-20260922-20:31:47-1127386,Baseline5UAV,3,3,3,sha3,5,,,,4,1,0.003767,0.035756,0.062636,160,16,enrollment; config=Baseline5UAV
120,Baseline5UAV-4-20260922-20:31:47-1127386,Baseline5UAV,4,4,4,sha3,5,,,,0,1,0.007964,0.039995,0.078545,160,16,enrollment; config=Baseline5UAV
121,Baseline5UAV-4-20260922-20:31:47-1127386,Baseline5UAV,4,4,4,sha3,5,,,,1,1,0.004058,0.035586,0.065812,160,16,enrollment; config=Baseline5UAV
122,Baseline5UAV-4-20260922-20:31:47-1127386,Baseline5UAV,4,4,4,sha3,5,,,,2,1,0.003917,0.035346,0.063698,160,16,enrollment; config=Baseline5UAV
123,Baseline5UAV-4-20260922-20:31:47-1127386,Baseline5UAV,4,4,4,sha3,5,,,,3,1,0.003777,0.035335,0.062015,160,16,enrollment; config=Baseline5UAV
124,Baseline5UAV-4-20260922-20:31:47-1127386,Baseline5UAV,4,4,4,sha3,5,,,,4,1,0.003747,0.034925,0.061544,160,16,enrollment; config=Baseline5UAV
125,Baseline5UAV-5-20260922-20:31:47-1127386,Baseline5UAV,5,5,5,sha3,5,,,,0,1,0.006422,0.039292,0.07521,160,16,enrollment; config=Baseline5UAV
126,Baseline5UAV-5-20260922-20:31:47-1127386,Baseline5UAV,5,5,5,sha3,5,,,,1,1,0.004078,0.035085,0.065692,160,16,enrollment; config=Baseline5UAV
127,Baseline5UAV-5-20260922-20:31:47-1127386,Baseline5UAV,5,5,5,sha3,5,,,,2,1,0.003887,0.035215,0.063998,160,16,enrollment; config=Baseline5UAV
128,Baseline5UAV-5-20260922-20:31:47-1127386,Baseline5UAV,5,5,5,sha3,5,,,,3,1,0.003877,0.034884,0.062095,160,16,enrollment; config=Baseline5UAV
129,Baseline5UAV-5-20260922-20:31:47-1127386,Baseline5UAV,5,5,5,sha3,5,,,,4,1,0.003787,0.034604,0.061133,160,16,enrollment; config=Baseline5UAV
130,Baseline5UAV-6-20260922-20:31:47-1127386,Baseline5UAV,6,6,6,sha3,5,,,,0,1,0.019716,0.040776,0.091209,160,16,enrollment; config=Baseline5UAV
131,Baseline5UAV-6-20260922-20:31:47-1127386,Baseline5UAV,6,6,6,sha3,5,,,,1,1,0.003977,0.035145,0.06526,160,16,enrollment; config=Baseline5UAV
132,Baseline5UAV-6-20260922-20:31:47-1127386,Baseline5UAV,6,6,6,sha3,5,,,,2,1,0.003857,0.035866,0.064369,160,16,enrollment; config=Baseline5UAV
133,Baseline5UAV-6-20260922-20:31:47-1127386,Baseline5UAV,6,6,6,sha3,5,,,,3,1,0.003837,0.034965,0.061554,160,16,enrollment; config=Baseline5UAV
134,Baseline5UAV-6-20260922-20:31:47-1127386,Baseline5UAV,6,6,6,sha3,5,,,,4,1,0.003807,0.035546,0.062717,160,16,enrollment; config=Baseline5UAV
135,Baseline5UAV-7-20260922-20:31:47-1127386,Baseline5UAV,7,7,7,sha3,5,,,,0,1,0.006392,0.039353,0.075369,160,16,enrollment; config=Baseline5UAV
136,Baseline5UAV-7-20260922-20:31:47-1127386,Baseline5UAV,7,7,7,sha3,5,,,,1,1,0.003977,0.034935,0.06501,160,16,enrollment; config=Baseline5UAV
137,Baseline5UAV-7-20260922-20:31:47-1127386,Baseline5UAV,7,7,7,sha3,5,,,,2,1,0.003827,0.034684,0.062877,160,16,enrollment; config=Baseline5UAV
138,Baseline5UAV-7-20260922-20:31:47-1127386,Baseline5UAV,7,7,7,sha3,5,,,,3,1,0.003857,0.035085,0.061954,160,16,enrollment; config=Baseline5UAV
139,Baseline5UAV-7-20260922-20:31:47-1127386,Baseline5UAV,7,7,7,sha3,5,,,,4,1,0.003757,0.034354,0.060753,160,16,enrollment; config=Baseline5UAV
140,Baseline5UAV-8-20260922-20:31:47-1127386,Baseline5UAV,8,8,8,sha3,5,,,,0,1,0.009728,0.051104,0.092391,160,16,enrollment; config=Baseline5UAV
141,Baseline5UAV-8-20260922-20:31:47-1127386,Baseline5UAV,8,8,8,sha3,5,,,,1,1,0.004108,0.035255,0.065792,160,16,enrollment; config=Baseline5UAV
142,Baseline5UAV-8-20260922-20:31:47-1127386,Baseline5UAV,8,8,8,sha3,5,,,,2,1,0.003827,0.035906,0.06479,160,16,enrollment; config=Baseline5UAV
