idx,run_id,config,runnumber,repetition,seedset,uav_id,sig_suite,success,wall_latency_ms,compute_ms,net_ms,sign_ms,verify_ms,mac_ms,kdf_ms,dh_ms,overhead_bytes,bytes_b1,bytes_b2,bytes_b3,bytes_b4
94,BaselineRSA-17-20260810-16:20:12-769471,BaselineRSA,17,17,17,4,rsa2048,1,1.415989,1.136094,0.734714,0.806639,0.038801,0.008296,0.011611,0.12497,703,330,325,24,24
95,BaselineRSA-17-20260810-16:20:12-769471,BaselineRSA,17,17,17,5,rsa2048,1,1.41928,1.390559,0.69772,1.101098,0.027721,0.005229,0.013064,0.122034,703,330,325,24,24
96,BaselineRSA-17-20260810-16:20:12-769471,BaselineRSA,17,17,17,6,rsa2048,1,1.427768,1.087082,0.696915,0.840391,0.025136,0.005109,0.007785,0.101496,703,330,325,24,24
97,BaselineRSA-17-20260810-16:20:12-769471,BaselineRSA,17,17,17,7,rsa2048,1,1.456335,1.108462,0.705141,0.864956,0.024375,0.00496,0.007073,0.101627,703,330,325,24,24
98,BaselineRSA-17-20260810-16:20:12-769471,BaselineRSA,17,17,17,8,rsa2048,1,1.39794,1.101519,0.701731,0.846201,0.029524,0.00494,0.007724,0.101427,703,330,325,24,24
99,BaselineRSA-17-20260810-16:20:12-769471,BaselineRSA,17,17,17,9,rsa2048,1,1.425789,1.051406,0.680375,0.80765,0.024525,0.005049,0.006912,0.101396,703,330,325,24,24
100,BaselineRSA-18-20260810-16:20:12-769471,BaselineRSA,18,18,18,0,rsa2048,1,1.444893,1.169974,0.767591,0.857251,0.030887,0.00545,0.015378,0.121764,703,330,325,24,24
101,BaselineRSA-18-20260810-16:20:12-769471,BaselineRSA,18,18,18,1,rsa2048,1,1.383082,1.142302,0.689445,0.878731,0.027,0.005149,0.010399,0.105292,703,330,325,24,24
102,BaselineRSA-18-20260810-16:20:12-769471,BaselineRSA,18,18,18,2,rsa2048,1,1.410461,1.10667,0.69449,0.848255,0.026459,0.0053,0.008145,0.105654,703,330,325,24,24
103,BaselineRSA-18-20260810-16:20:12-769471,BaselineRSA,18,18,18,3,rsa2048,1,1.441487,1.135693,0.682225,0.877188,0.024996,0.005039,0.007013,0.10911,703,330,325,24,24
104,BaselineRSA-18-20260810-16:20:12-769471,BaselineRSA,18,18,18,4,rsa2048,1,1.420892,1.068731,0.71404,0.81826,0.025728,0.00512,0.007344,0.103369,703,330,325,24,24
105,BaselineRSA-18-20260810-16:20:12-769471,BaselineRSA,18,18,18,5,rsa2048,1,1.437954,1.074409,0.730065,0.81848,0.024696,0.00537,0.007123,0.107357,703,330,325,24,24
106,BaselineRSA-18-20260810-16:20:12-769471,BaselineRSA,18,18,18,6,rsa2048,1,1.423453,1.082044,0.734187,0.830232,0.026088,0.00509,0.007414,0.10388,703,330,325,24,24
107,BaselineRSA-18-20260810-16:20:12-769471,BaselineRSA,18,18,18,7,rsa2048,1,1.420947,1.110136,0.713603,0.853915,0.026158,0.00516,0.007915,0.105494,703,330,325,24,24
108,BaselineRSA-18-20260810-16:20:12-769471,BaselineRSA,18,18,18,8,rsa2048,1,1.395627,1.141991,0.717728,0.87292,0.029194,0.006572,0.008295,0.106365,703,330,325,24,24
109,BaselineRSA-18-20260810-16:20:12-769471,BaselineRSA,18,18,18,9,rsa2048,1,1.415261,1.315182,0.685821,0.912453,0.044362,0.009788,0.022882,0.145187,703,330,325,24,24
110,BaselineRSA-19-20260810-16:20:13-769471,BaselineRSA,19,19,19,0,rsa2048,1,1.436074,1.159665,0.726178,0.853265,0.025466,0.00525,0.018203,0.122304,703,330,325,24,24
111,BaselineRSA-19-20260810-16:20:13-769471,BaselineRSA,19,19,19,1,rsa2048,1,1.384903,1.071325,0.679271,0.822507,0.025206,0.00517,0.008134,0.102007,703,330,325,24,24
112,BaselineRSA-19-20260810-16:20:13-769471,BaselineRSA,19,19,19,2,rsa2048,1,1.407333,1.061575,0.679315,0.817879,0.025036,0.004969,0.007073,0.100825,703,330,325,24,24
113,BaselineRSA-19-20260810-16:20:13-769471,BaselineRSA,19,19,19,3,rsa2048,1,1.366347,1.056397,0.691295,0.813011,0.024956,0.005019,0.006833,0.101295,703,330,325,24,24
114,BaselineRSA-19-20260810-16:20:13-769471,BaselineRSA,19,19,19,4,rsa2048,1,1.368883,1.063501,0.670585,0.818621,0.025246,0.00499,0.007444,0.100956,703,330,325,24,24
115,BaselineRSA-19-20260810-16:20:13-769471,BaselineRSA,19,19,19,5,rsa2048,1,1.390416,1.056067,0.710415,0.813822,0.024455,0.00504,0.006783,0.100755,703,330,325,24,24
116,BaselineRSA-19-20260810-16:20:13-769471,BaselineRSA,19,19,19,6,rsa2048,1,1.365048,1.062006,0.680321,0.814814,0.025126,0.0051,0.007834,0.101627,703,330,325,24,24
