idx,run_id,config,runnumber,repetition,seedset,suite,num_uavs,puf_ber,fe_profile,attack_mode,module,role,primitive,calls,total_ms,mean_us,median_us,p95_us
110,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[3],uav,mac,16,0.034015,2.125938,2.114,2.209
111,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[3],uav,mac_verify,12,0.027844,2.320333,2.109,3.3348
112,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[4],uav,aead_open,1,0.001342,1.342,1.342,1.342
113,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[4],uav,dh_derive,9,0.618684,68.742667,63.316,87.0774
114,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[4],uav,dh_keygen,10,0.333896,33.3896,33.3665,33.86355
115,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[4],uav,extract,1,0.003066,3.066,3.066,3.066
116,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[4],uav,kdf,20,0.100582,5.0291,4.815,6.34775
117,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[4],uav,mac,15,0.031935,2.129,2.124,2.2397
118,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[4],uav,mac_verify,13,0.03058,2.352308,2.104,3.6694
119,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[5],uav,aead_open,1,0.001272,1.272,1.272,1.272
120,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[5],uav,dh_derive,9,0.616632,68.514667,62.966,87.5392
121,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[5],uav,dh_keygen,10,0.339516,33.9516,33.657,36.20835
122,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[5],uav,extract,1,0.003126,3.126,3.126,3.126
123,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[5],uav,kdf,20,0.111076,5.5538,4.7195,10.1237
124,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[5],uav,mac,14,0.030121,2.1515,2.139,2.276
125,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[5],uav,mac_verify,14,0.032384,2.313143,2.1545,3.541
126,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[7],uav,aead_open,1,0.001363,1.363,1.363,1.363
127,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[7],uav,dh_derive,9,0.669395,74.377222,63.787,100.4482
128,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[7],uav,dh_keygen,9,0.302323,33.591444,33.647,34.0736
129,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[7],uav,extract,1,0.003257,3.257,3.257,3.257
130,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[7],uav,kdf,19,0.106723,5.617,4.93,9.7619
131,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[7],uav,mac,12,0.026132,2.177667,2.119,2.3565
132,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[7],uav,mac_verify,15,0.037016,2.467733,2.104,4.1443
133,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[8],uav,aead_open,1,0.001352,1.352,1.352,1.352
134,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[8],uav,dh_derive,9,0.731281,81.253444,86.202,104.9196
135,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[8],uav,dh_keygen,9,0.302756,33.639556,33.637,34.0242
136,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[8],uav,extract,1,0.003186,3.186,3.186,3.186
137,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[8],uav,kdf,19,0.113388,5.967789,4.92,10.387
138,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[8],uav,mac,11,0.023395,2.126818,2.114,2.2145
139,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[8],uav,mac_verify,16,0.043647,2.727937,2.1745,4.49675
140,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[9],uav,aead_open,1,0.001463,1.463,1.463,1.463
141,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[9],uav,dh_derive,9,0.667594,74.177111,67.826,93.9214
142,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[9],uav,dh_keygen,9,0.309607,34.400778,33.648,37.4062
143,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[9],uav,extract,1,0.004319,4.319,4.319,4.319
144,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[9],uav,kdf,19,0.104392,5.494316,4.91,8.9384
