idx,run_id,config,runnumber,repetition,seedset,uav_id,sig_suite,success,wall_latency_ms,compute_ms,net_ms,sign_ms,verify_ms,mac_ms,kdf_ms,dh_ms,overhead_bytes,bytes_b1,bytes_b2,bytes_b3,bytes_b4
90,BaselineRSA-17-20260922-20:33:12-1128111,BaselineRSA,17,17,17,0,rsa2048,1,1.410151,1.125683,0.691407,0.831339,0.029756,0.00531,0.014266,0.114021,703,330,325,24,24
91,BaselineRSA-17-20260922-20:33:12-1128111,BaselineRSA,17,17,17,1,rsa2048,1,1.386202,1.049261,0.692833,0.803878,0.025086,0.005079,0.007334,0.101158,703,330,325,24,24
92,BaselineRSA-17-20260922-20:33:12-1128111,BaselineRSA,17,17,17,2,rsa2048,1,1.363002,1.056075,0.680654,0.811472,0.025096,0.004988,0.007263,0.100887,703,330,325,24,24
93,BaselineRSA-17-20260922-20:33:12-1128111,BaselineRSA,17,17,17,3,rsa2048,1,1.411656,1.102492,0.689713,0.802215,0.028332,0.007143,0.012133,0.117958,703,330,325,24,24
94,BaselineRSA-17-20260922-20:33:12-1128111,BaselineRSA,17,17,17,4,rsa2048,1,1.415989,1.138467,0.734714,0.831599,0.039583,0.00534,0.009698,0.113239,703,330,325,24,24
95,BaselineRSA-17-20260922-20:33:12-1128111,BaselineRSA,17,17,17,5,rsa2048,1,1.41928,1.064932,0.69772,0.818054,0.025387,0.004939,0.007414,0.101959,703,330,325,24,24
96,BaselineRSA-17-20260922-20:33:12-1128111,BaselineRSA,17,17,17,6,rsa2048,1,1.427768,1.061044,0.696915,0.812143,0.026218,0.005019,0.007334,0.101948,703,330,325,24,24
97,BaselineRSA-17-20260922-20:33:12-1128111,BaselineRSA,17,17,17,7,rsa2048,1,1.456335,1.054953,0.705141,0.813315,0.023974,0.00505,0.007494,0.100455,703,330,325,24,24
98,BaselineRSA-17-20260922-20:33:12-1128111,BaselineRSA,17,17,17,8,rsa2048,1,1.39794,1.04327,0.701731,0.79977,0.024686,0.004999,0.007123,0.101378,703,330,325,24,24
99,BaselineRSA-17-20260922-20:33:12-1128111,BaselineRSA,17,17,17,9,rsa2048,1,1.425789,1.045967,0.680375,0.801314,0.025558,0.004968,0.007234,0.100586,703,330,325,24,24
100,BaselineRSA-18-20260922-20:33:12-1128111,BaselineRSA,18,18,18,0,rsa2048,1,1.444893,1.16678,0.767591,0.814397,0.038191,0.006552,0.015719,0.131925,703,330,325,24,24
101,BaselineRSA-18-20260922-20:33:12-1128111,BaselineRSA,18,18,18,1,rsa2048,1,1.383082,1.209037,0.689445,0.912479,0.034163,0.005189,0.011081,0.116827,703,330,325,24,24
102,BaselineRSA-18-20260922-20:33:12-1128111,BaselineRSA,18,18,18,2,rsa2048,1,1.410461,1.102152,0.69449,0.838623,0.028884,0.005179,0.010189,0.10279,703,330,325,24,24
103,BaselineRSA-18-20260922-20:33:12-1128111,BaselineRSA,18,18,18,3,rsa2048,1,1.441487,1.055354,0.682225,0.813867,0.024446,0.005029,0.007093,0.100175,703,330,325,24,24
104,BaselineRSA-18-20260922-20:33:12-1128111,BaselineRSA,18,18,18,4,rsa2048,1,1.420892,1.041147,0.71404,0.79974,0.024776,0.004849,0.007043,0.099915,703,330,325,24,24
105,BaselineRSA-18-20260922-20:33:12-1128111,BaselineRSA,18,18,18,5,rsa2048,1,1.437954,1.037841,0.730065,0.798899,0.023954,0.00486,0.007263,0.099584,703,330,325,24,24
106,BaselineRSA-18-20260922-20:33:12-1128111,BaselineRSA,18,18,18,6,rsa2048,1,1.423453,1.03731,0.734187,0.800993,0.023804,0.004749,0.006542,0.099285,703,330,325,24,24
107,BaselineRSA-18-20260922-20:33:12-1128111,BaselineRSA,18,18,18,7,rsa2048,1,1.420947,1.035357,0.713603,0.797666,0.023764,0.004849,0.006543,0.099914,703,330,325,24,24
108,BaselineRSA-18-20260922-20:33:12-1128111,BaselineRSA,18,18,18,8,rsa2048,1,1.395627,1.047999,0.717728,0.794901,0.024325,0.004919,0.006922,0.106666,703,330,325,24,24
109,BaselineRSA-18-20260922-20:33:12-1128111,BaselineRSA,18,18,18,9,rsa2048,1,1.415261,1.026749,0.685821,0.789261,0.023604,0.004889,0.007153,0.099274,703,330,325,24,24
110,BaselineRSA-19-20260922-20:33:13-1128111,BaselineRSA,19,19,19,0,rsa2048,1,1.436074,1.113451,0.726178,0.827331,0.026629,0.00522,0.014657,0.11334,703,330,325,24,24
111,BaselineRSA-19-20260922-20:33:13-1128111,BaselineRSA,19,19,19,1,rsa2048,1,1.384903,1.083586,0.679271,0.814959,0.028754,0.00521,0.009017,0.106918,703,330,325,24,24
112,BaselineRSA-19-20260922-20:33:13-1128111,BaselineRSA,19,19,19,2,rsa2048,1,1.407333,1.053369,0.679315,0.805361,0.025357,0.005,0.008015,0.101608,703,330,325,24,24
113,BaselineRSA-19-20260922-20:33:13-1128111,BaselineRSA,19,19,19,3,rsa2048,1,1.366347,1.061095,0.691295,0.816902,0.024856,0.005039,0.007543,0.100896,703,330,325,24,24
114,BaselineRSA-19-20260922-20:33:13-1128111,BaselineRSA,19,19,19,4,rsa2048,1,1.368883,1.049183,0.670585,0.809128,0.024165,0.00489,0.007093,0.099855,703,330,325,24,24
115,BaselineRSA-19-20260922-20:33:13-1128111,BaselineRSA,19,19,19,5,rsa2048,1,1.390416,1.041717,0.710415,0.800542,0.024695,0.004898,0.007003,0.100156,703,330,325,24,24
116,BaselineRSA-19-20260922-20:33:13-1128111,BaselineRSA,19,19,19,6,rsa2048,1,1.365048,1.076112,0.680321,0.800191,0.023584,0.00504,0.007795,0.117978,703,330,325,24,24
117,BaselineRSA-19-20260922-20:33:13-1128111,BaselineRSA,19,19,19,7,rsa2048,1,1.450539,1.048622,0.746517,0.808567,0.024405,0.004929,0.006752,0.100086,703,330,325,24,24
118,BaselineRSA-19-20260922-20:33:13-1128111,BaselineRSA,19,19,19,8,rsa2048,1,1.400532,1.045466,0.716766,0.802586,0.025096,0.00504,0.007013,0.100617,703,330,325,24,24
119,BaselineRSA-19-20260922-20:33:13-1128111,BaselineRSA,19,19,19,9,rsa2048,1,1.377673,1.040468,0.676464,0.801123,0.024105,0.00503,0.006743,0.100005,703,330,325,24,24
120,BaselineRSA-2-20260922-20:33:05-1128111,BaselineRSA,2,2,2,0,rsa2048,1,1.414856,1.220809,0.703493,0.932306,0.025918,0.0054,0.013745,0.118119,703,330,325,24,24
121,BaselineRSA-2-20260922-20:33:05-1128111,BaselineRSA,2,2,2,1,rsa2048,1,1.404311,1.053381,0.698796,0.809418,0.025217,0.005049,0.007073,0.100576,703,330,325,24,24
122,BaselineRSA-2-20260922-20:33:05-1128111,BaselineRSA,2,2,2,2,rsa2048,1,1.403467,1.041347,0.708665,0.802425,0.023884,0.004879,0.006842,0.100135,703,330,325,24,24
123,BaselineRSA-2-20260922-20:33:05-1128111,BaselineRSA,2,2,2,3,rsa2048,1,1.395331,1.033954,0.674533,0.793198,0.024475,0.004929,0.007013,0.100255,703,330,325,24,24
124,BaselineRSA-2-20260922-20:33:05-1128111,BaselineRSA,2,2,2,4,rsa2048,1,1.397031,1.040274,0.695904,0.798859,0.024425,0.004919,0.007203,0.100126,703,330,325,24,24
125,BaselineRSA-2-20260922-20:33:05-1128111,BaselineRSA,2,2,2,5,rsa2048,1,1.434819,1.032371,0.689596,0.794611,0.023644,0.00487,0.006812,0.099746,703,330,325,24,24
126,BaselineRSA-2-20260922-20:33:05-1128111,BaselineRSA,2,2,2,6,rsa2048,1,1.385352,1.046739,0.691783,0.797827,0.024315,0.00489,0.006773,0.104863,703,330,325,24,24
127,BaselineRSA-2-20260922-20:33:05-1128111,BaselineRSA,2,2,2,7,rsa2048,1,1.420482,1.061656,0.697977,0.808557,0.023914,0.004799,0.007023,0.107099,703,330,325,24,24
128,BaselineRSA-2-20260922-20:33:05-1128111,BaselineRSA,2,2,2,8,rsa2048,1,1.434789,1.034726,0.715694,0.797476,0.023754,0.00495,0.006782,0.099475,703,330,325,24,24
129,BaselineRSA-2-20260922-20:33:05-1128111,BaselineRSA,2,2,2,9,rsa2048,1,1.383609,1.149939,0.689609,0.882674,0.028272,0.00531,0.011371,0.104234,703,330,325,24,24
130,BaselineRSA-20-20260922-20:33:13-1128111,BaselineRSA,20,20,20,0,rsa2048,1,1.432871,1.121836,0.734404,0.815429,0.027661,0.008576,0.019906,0.113311,703,330,325,24,24
131,BaselineRSA-20-20260922-20:33:13-1128111,BaselineRSA,20,20,20,1,rsa2048,1,1.406116,1.100958,0.714571,0.832451,0.026629,0.009158,0.011431,0.103993,703,330,325,24,24
132,BaselineRSA-20-20260922-20:33:13-1128111,BaselineRSA,20,20,20,2,rsa2048,1,1.414606,1.122207,0.708371,0.864901,0.025757,0.005179,0.008125,0.107479,703,330,325,24,24
